"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39"
"Nuclear",0.157295257117882,0.154757714650576,0.150624165132926,0.139427193152727,0.136799469655421,0.131160240458378,0.126602584432747,0.122330308606199,0.118437399283737,0.112971325856255,0.107279763286875,0.102892271967692,0.0983751593084532,0.0936133573935387,0.0890255408355203,0.0848762042290875,0.0821144119588998,0.0778638681662712,0.0745740562398476,0.070739388570592,0.0662944356626785,0.0627104739166565,0.0580065765313638,0.0554426289365478,0.054417758661372,0.0507178367646659,0.048097651576243,0.0443970019620927,0.0455772087378306,0.0450674919421004,0.0454774681319301,0.0442557817842702,0.0413525200105172,0.0409577175783794,0.0414225870183691,0.0406654771543101,0.0400636648279541,0.0399070728476463,0.0411635220608842
"Lignite",0.317677013311641,0.313649387996553,0.309260725447523,0.29531117194784,0.28811030180246,0.278896609836804,0.270101500225533,0.261699712171584,0.252894726510045,0.241895096180334,0.231464227345065,0.222757618061463,0.213603390871009,0.204655609151601,0.196506858674585,0.188219844517067,0.179113708406616,0.169790491971617,0.160854578037147,0.153329965434067,0.146197272909247,0.136873118564508,0.128266537590286,0.120674667080811,0.11490665589858,0.107450632866307,0.100194951820853,0.0927669528774044,0.0905288092986194,0.0830801668694365,0.0776765220635703,0.0712405521621469,0.0654841398193926,0.0595786095331192,0.054367849692745,0.049860456104935,0.0453729170502,0.0420474141976086,0.0383911124131454
"CoalPSC",0.216078166512711,0.224282394333469,0.238275079398594,0.222306813903653,0.230788369783735,0.227610312706393,0.232842273058156,0.241708538547094,0.243282365135172,0.273941857428737,0.298055882157742,0.308983438774651,0.312348405606577,0.312880886093716,0.316044312007353,0.318823059775426,0.319610335331075,0.319512913587134,0.315070178880237,0.311852666079505,0.309615020612934,0.308889178157118,0.308792153879103,0.308972232443123,0.305759059047246,0.30326933054808,0.299741812235036,0.296952191494757,0.309521776765724,0.302543179022627,0.295235881957154,0.286258082200473,0.275867086315093,0.266550819641509,0.258625363508015,0.249875426913771,0.24207746037392,0.23845926460015,0.233204004451086
"IGCC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000671452064810351,0.00152218251465171,0.0015160130811708,0.00450900438881289,0.00835909218201679,0.0120413572697195,0.0147134595044967,0.0164654961232672,0.026009848389484,0.0301921945873977,0.0345491793420303,0.0400948519122273,0.0449663515213702,0.050911497140465,0.0580866625400553,0.0637955679071544
"CCGT",0.00407386394799488,0.00557240285704548,0.00883518951225551,0.0105615911479827,0.0129974168362111,0.0154961262359966,0.0189115206973955,0.0223091069699988,0.0277838897112963,0.0241441890268235,0.0195062450845597,0.0197530751763369,0.0211086228612583,0.0237566684946455,0.0248556776440807,0.0250880133148804,0.0253767534542283,0.0255788203916359,0.0270337523813425,0.0281301486308656,0.0286468096974416,0.0290796254621676,0.0300100392835383,0.0314757525187858,0.0335667531642515,0.03626831335839,0.0356053917020202,0.0344478556132631,0.0363051440805848,0.0378130470406072,0.0392306459299539,0.0399710775009468,0.0387975533962608,0.0368206653082355,0.0349725924329318,0.0356958773745497,0.0373427798781122,0.0373490316754147,0.0380946169149831
"OCGT",0,0,3.26225524550551e-06,6.4867815013975e-05,0.00030466956501885,0.000756145968358346,0.00151420258806024,0.00257049085700816,0.00398895047708999,0.00336803099722545,0.00217141924463151,0.00265121067941204,0.00349584886958934,0.00456538769846677,0.00534774346959648,0.00495266752664006,0.00505720725886985,0.00548426336956296,0.00612118033848699,0.00693632166475561,0.0071576961109572,0.00729029216862469,0.00739329865058074,0.00798311969614642,0.00765993123102319,0.00791299803856234,0.00785911311965422,0.00757404537507128,0.00881632752968382,0.0104193690178905,0.0120979197088097,0.0122614983372178,0.0123049202771013,0.0111083405539842,0.0114577744042052,0.0116257892367614,0.011911294198424,0.0123546749978066,0.0135559875953923
"Biomass",0.0110154324451195,0.0130469003507897,0.0166582655895124,0.0170358078892729,0.0207517208745021,0.0226274547522653,0.025576442598843,0.0270154380017153,0.0288722686767387,0.0255735717165931,0.0221127407742418,0.0218452247599503,0.0218527281949189,0.0220030441493243,0.0221903902777218,0.0216370507364968,0.0214336500229737,0.0208869880660551,0.0211650335903406,0.020779117881512,0.020718579788772,0.0224157347611733,0.0242317023871725,0.0259242323729408,0.025973877184667,0.0265738693544705,0.0260460439728953,0.0263694155003685,0.0301718656001234,0.0297376287824715,0.031847928986832,0.0303621288323805,0.0302248253662633,0.0307545467349732,0.0327024703556087,0.0329829706707946,0.0322352642166006,0.0316601150832732,0.0317095656342222
"Biogas",0,0,0,0,0.00314366673875471,0.00411128363306164,0.00646928287719429,0.00744559032153992,0.0088974670692802,0.00715533183032231,0.00655173243251103,0.00607145893204495,0.00614866713883392,0.0063626321624738,0.00615733436552026,0.00602454144583674,0.00578994994555406,0.00562992793406184,0.00577508341962857,0.00576966772073132,0.00564579333297817,0.00557688591626779,0.00551413768508948,0.00551955537759267,0.00548255758207111,0.00564806109952864,0.00513878277344238,0.00477780983555876,0.00488862190485703,0.00507215580346851,0.00520462493006284,0.00495727617490613,0.00474033059691695,0.00450150219677519,0.00158380906032963,0.00147728836498673,0.000983810350674288,0.00112563193222392,0.00116048049824775
"Wind",0.157621931277239,0.155048968980763,0.1486366941981,0.140277020272675,0.13263197461771,0.125441005980882,0.118100598524937,0.110077336714946,0.103410846991153,0.0961907816828383,0.0909476580804852,0.0892813964478846,0.0893798440937249,0.0918739360493351,0.0930154367107026,0.0960628174344432,0.0988195934635468,0.102844857988846,0.107545765179927,0.109669641387274,0.115908275706374,0.119110076934882,0.12369162912813,0.122770126293843,0.125748589096716,0.127638657746115,0.133266923359291,0.137097705022417,0.142662530761079,0.145895250874614,0.148425370774501,0.15216940952299,0.157204432682191,0.158766487996569,0.159094383701621,0.161022585606089,0.159751975287465,0.159012198914235,0.157855216553653
"WindOffshore",0.0132767237439309,0.0129991852633294,0.0124671231567888,0.0669576757122535,0.0716379292543746,0.0963422795548211,0.107335945807127,0.115095153070451,0.122656169639161,0.125379455429765,0.129388503653095,0.131040722051378,0.136469773838259,0.140646005773409,0.143847473073138,0.14797561656799,0.15236297910068,0.157249638325219,0.162793838581873,0.168885339922228,0.17378900308345,0.17942225883252,0.183709544083693,0.187838871951731,0.189766731080131,0.192806597796544,0.195949455716766,0.200547990790852,0.169170881530565,0.171011103308349,0.170723142818968,0.171953805447494,0.181578124850605,0.193174355918021,0.200957310693889,0.205730086567098,0.212773089228709,0.212840386854934,0.213236288493009
"PV",0.122961611643482,0.120643045567475,0.115239495309055,0.108057858158584,0.102834480871812,0.097558540873038,0.0925456491900082,0.0897483247394638,0.089775916506328,0.0893803598511071,0.0925218279407934,0.0947235831491875,0.0972175592173763,0.0996424730334889,0.103009232941781,0.106340184452134,0.110321411057558,0.1151582301996,0.11906653335117,0.123907742708471,0.126027113095167,0.128632355286081,0.130384380781043,0.132727361263668,0.135195904539291,0.140197689346167,0.143590869334986,0.146709939346201,0.150315476521212,0.154647147833939,0.157614998574951,0.16056053964769,0.16225387209826,0.163237775196405,0.164721007220057,0.166097690485333,0.166576247447475,0.16715754635665,0.167833637478221
